country,founded,id,industry,linkedin_url,city,name,state,size,website,lat,lng
nigeria,2023,scribed-it,retail,linkedin.com/company/scribed-it,,scribed it,lagos,1-10,instagram.com/scribed.it,,
nigeria,2023,its-right-solutions-aid-medicals,,linkedin.com/company/its-right-solutions-aid-medicals,lagos,it's right solutions aid medicals',lagos,1-10,,6.455,3.3841
nigeria,2023,hel-pvine,,linkedin.com/company/hel-pvine,ile-ife,hel_pvine,osun,11-50,,,
nigeria,2023,the-blue-mango-agency,,linkedin.com/company/the-blue-mango-agency,,the blue mango agency,lagos,1-10,bluemango.agency,,
nigeria,2023,webhive-learning,professional training & coaching,linkedin.com/company/webhive-learning,,webhive learning,lagos,1-10,webhive.io,,
nigeria,2023,truckdispatch,,linkedin.com/company/truckdispatch,,truckdispatch,lagos,1-10,gettruckdispatch.com,,
nigeria,2023,tenza-io,,linkedin.com/company/tenza-io,lekki,tenza,lagos,1-10,tenza.io,,
nigeria,2023,qoinpal,financial services,linkedin.com/company/qoinpal,,qoinpal,lagos,11-50,qoinpal.com,,
nigeria,2023,usekowe,financial services,linkedin.com/company/usekowe,,kowe,lagos,1-10,usekowe.com,,
nigeria,2023,chez-bites,,linkedin.com/company/chez-bites,lagos,chez bites,lagos,1-10,,6.455,3.3841
nigeria,2023,payblock-intergrated-services-ltd,,linkedin.com/company/payblock-intergrated-services-ltd,lagos,payblock intergrated services ltd,lagos,1-10,,6.455,3.3841
nigeria,2023,techtummy,,linkedin.com/company/techtummy,lagos,techtummy,lagos,1-10,,6.455,3.3841
nigeria,2023,cardizaa,,linkedin.com/company/cardizaa,,cardizaa,lagos,1-10,cardizaa.africa,,
nigeria,2023,tedx-tasued,higher education,linkedin.com/company/tedx-tasued,ijebu-ode,tedx tasued,ogun,11-50,,,
nigeria,2023,chatbuy,banking,linkedin.com/company/chatbuy,ikeja,chatbuy,lagos,1001-5000,,6.6,3.35
nigeria,2023,livesport-studio,,linkedin.com/company/livesport-studio,lekki,livesport,lagos,1-10,livesport.studio,,
nigeria,2023,datenest,,linkedin.com/company/datenest,lekki,datenest,lagos,1-10,datenest.net,,
nigeria,2023,sales-launch,,linkedin.com/company/sales-launch,ikeja,sales launch,lagos,1-10,,6.6,3.35
nigeria,2023,the-sokrit-foundation,,linkedin.com/company/the-sokrit-foundation,,the sokrit foundation,lagos,1-10,instagram.com/thesokritfoundation,,
nigeria,2023,opufect-jobs-portal,higher education,linkedin.com/company/opufect-jobs-portal,lagos,opufect jobs portal,lagos,11-50,opufect.com.ng,6.455,3.3841
nigeria,2023,tech-genies-nigeria,higher education,linkedin.com/company/tech-genies-nigeria,,tech genies nigeria,lagos,1-10,,,
nigeria,2023,pickbox-software-technologies-ltd,,linkedin.com/company/pickbox-software-technologies-ltd,,pickbox software technologies ltd,lagos,1-10,usepickbox.com,,
nigeria,2023,branded-by-lola,,linkedin.com/company/branded-by-lola,ibadan,branded by lola,oyo,1-10,linktr.ee/brandedbylola,7.3964,3.9167
nigeria,2023,smatta-global,financial services,linkedin.com/company/smatta-global,,smatta global,lagos,11-50,smatta.co,,
